"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Jacobs (LV)","340","1,653","4.9","86","14","12","53","64","400","7.5","0","1","17","275.3","16.2","99.9%"
"2","Christian McCaffrey (SF)","244","1,139","4.7","49","14","8","85","108","741","8.7","5","0","17","271.4","16.0","100.0%"
"3","Derrick Henry (TEN)","349","1,538","4.4","56","20","13","33","41","398","12.1","0","3","16","269.8","16.9","99.9%"
"4","Austin Ekeler (LAC)","204","915","4.5","72","10","13","107","127","722","6.7","5","3","17","265.7","15.6","100.0%"
"5","Nick Chubb (CLE)","302","1,525","5.0","41","18","12","27","37","239","8.9","1","1","17","254.4","15.0","99.9%"
"6","Saquon Barkley (NYG)","295","1,312","4.4","68","16","10","57","76","338","5.9","0","0","16","227.0","14.2","99.9%"
"7","Jamaal Williams (NO)","262","1,066","4.1","58","10","17","12","16","73","6.1","0","2","17","213.9","12.6","85.4%"
"8","Tony Pollard (DAL)","193","1,007","5.2","57","18","9","39","55","371","9.5","3","0","16","209.8","13.1","99.9%"
"9","Dalvin Cook (NYJ)","264","1,173","4.4","81","14","8","39","56","295","7.6","2","4","17","198.8","11.7","91.2%"
"10","Miles Sanders (CAR)","259","1,269","4.9","40","12","11","20","26","78","3.9","0","2","17","196.7","11.6","94.9%"
"11","Aaron Jones (GB)","213","1,121","5.3","36","10","2","59","72","395","6.7","5","3","17","189.6","11.2","99.0%"
"12","Najee Harris (PIT)","272","1,034","3.8","36","2","7","41","53","229","5.6","3","2","17","182.5","10.7","98.9%"
"13","Joe Mixon (CIN)","212","826","3.9","40","7","7","60","75","441","7.4","2","0","15","180.7","12.0","99.3%"
"14","Rhamondre Stevenson (NE)","210","1,040","5.0","49","12","5","69","88","421","6.1","1","1","17","180.1","10.6","98.7%"
"15","Kenneth Walker III (SEA)","228","1,050","4.6","74","21","9","27","35","165","6.1","0","0","15","175.5","11.7","95.4%"
"16","Travis Etienne Jr. (JAC)","220","1,125","5.1","62","18","5","35","45","316","9.0","0","3","17","170.1","10.0","99.0%"
"17","Ezekiel Elliott (NE)","231","876","3.8","27","5","12","17","23","92","5.4","0","0","15","168.8","11.3","49.3%"
"18","Alvin Kamara (NO)","223","897","4.0","27","3","2","57","77","490","8.6","2","4","15","154.7","10.3","91.4%"
"19","James Conner (ARI)","183","782","4.3","23","3","7","46","58","300","6.5","1","1","13","154.2","11.9","93.8%"
"20","Leonard Fournette (FA)","189","668","3.5","23","1","3","73","83","523","7.2","3","0","16","154.1","9.6","10.1%"
"21","David Montgomery (DET)","201","801","4.0","28","2","5","34","40","316","9.3","1","2","16","143.7","9.0","90.3%"
"22","Tyler Allgeier (ATL)","210","1,035","4.9","44","12","3","16","17","139","8.7","1","0","16","143.4","9.0","40.3%"
"23","D'Andre Swift (PHI)","99","542","5.5","50","10","5","48","70","389","8.1","3","0","14","143.1","10.2","90.2%"
"24","Jerick McKinnon (KC)","72","291","4.0","30","3","1","56","71","512","9.1","9","1","17","140.3","8.3","63.4%"
"25","Devin Singletary (HOU)","178","822","4.6","33","7","5","38","52","280","7.4","1","3","17","140.2","8.2","40.9%"
"26","AJ Dillon (GB)","186","770","4.1","27","3","7","28","43","206","7.4","0","0","17","139.6","8.2","85.2%"
"27","Raheem Mostert (MIA)","181","891","4.9","67","9","3","31","42","202","6.5","2","1","16","137.3","8.6","54.7%"
"28","Jeff Wilson Jr. (MIA)","176","860","4.9","41","11","5","22","37","185","8.4","1","2","16","136.5","8.5","54.1%"
"29","Dameon Pierce (HOU)","220","939","4.3","75","13","4","30","39","165","5.5","1","2","13","136.4","10.5","95.8%"
"30","Cordarrelle Patterson (ATL)","144","695","4.8","40","6","8","21","31","122","5.8","0","1","13","133.7","10.3","14.2%"
"31","Cam Akers (LAR)","188","786","4.2","42","6","7","13","18","117","9.0","0","2","15","128.3","8.6","92.3%"
"32","Latavius Murray (BUF)","171","760","4.4","52","9","6","27","35","132","4.9","0","0","14","127.2","9.1","1.3%"
"33","D'Onta Foreman (CHI)","203","914","4.5","60","12","5","5","9","26","5.2","0","0","16","126.0","7.9","29.3%"
"34","Isiah Pacheco (KC)","170","830","4.9","31","4","5","13","14","130","10.0","0","2","17","122.0","7.2","92.2%"
"35","Antonio Gibson (WAS)","149","546","3.7","20","1","3","46","58","353","7.7","2","0","15","119.9","8.0","78.6%"
"36","Jonathan Taylor (IND)","192","861","4.5","66","8","4","28","40","143","5.1","0","3","12","118.4","9.9","99.7%"
"37","Khalil Herbert (CHI)","129","731","5.7","63","11","4","9","12","57","6.3","1","0","13","108.8","8.4","81.4%"
"38","Samaje Perine (DEN)","95","394","4.1","29","1","2","38","51","287","7.6","4","0","16","104.1","6.5","78.1%"
"39","Brian Robinson Jr. (WAS)","205","797","3.9","24","2","2","9","12","60","6.7","1","0","12","103.7","8.6","84.5%"
"40","Breece Hall (NYJ)","80","463","5.8","62","7","4","19","31","218","11.5","1","1","7","96.1","13.7","97.4%"
"41","Kareem Hunt (FA)","123","468","3.8","24","2","3","35","44","210","6.0","1","0","17","91.8","5.4","15.2%"
"42","Rachaad White (TB)","129","481","3.7","35","3","1","50","58","290","5.8","2","3","17","89.1","5.2","92.2%"
"43","Kenyan Drake (IND)","109","482","4.4","40","9","4","17","26","89","5.2","1","0","12","87.1","7.3","1.4%"
"44","James Cook (BUF)","91","525","5.8","33","7","2","21","32","180","8.6","1","1","17","86.5","5.1","88.4%"
"45","Michael Carter (NYJ)","114","402","3.5","25","3","3","41","54","288","7.0","0","1","16","85.0","5.3","10.5%"
"46","Clyde Edwards-Helaire (KC)","71","302","4.3","52","5","3","17","23","151","8.9","3","0","10","81.3","8.1","13.2%"
"47","James Robinson (NYG)","110","425","3.9","50","8","3","11","14","51","4.6","2","0","11","77.6","7.1","1.5%"
"48","J.K. Dobbins (BAL)","92","520","5.7","44","7","2","7","8","42","6.0","1","0","8","74.2","9.3","90.6%"
"49","Damien Harris (BUF)","106","462","4.4","30","3","3","17","23","97","5.7","0","0","11","73.9","6.7","53.3%"
"50","Chuba Hubbard (CAR)","95","466","4.9","35","6","2","14","17","171","12.2","0","1","14","73.7","5.3","16.4%"
"51","Alexander Mattison (MIN)","74","283","3.8","15","0","5","15","18","91","6.1","1","0","17","73.4","4.3","90.7%"
"52","Jaylen Warren (PIT)","77","379","4.9","31","4","1","28","33","214","7.6","0","0","16","65.3","4.1","21.0%"
"53","Kenneth Gainwell (PHI)","53","240","4.5","13","0","4","23","29","169","7.3","0","0","17","64.9","3.8","22.2%"
"54","Eno Benjamin (NO)","77","313","4.1","45","3","2","25","34","193","7.7","0","0","13","64.6","5.0","0.1%"
"55","Melvin Gordon III (BAL)","90","318","3.5","17","0","2","25","32","223","8.9","0","2","10","62.1","6.2","0.8%"
"56","Gus Edwards (BAL)","87","433","5.0","37","4","3","0","2","0","0","0","1","9","59.3","6.6","11.7%"
"57","Chase Edmonds (TB)","68","245","3.6","28","3","2","16","24","157","9.8","1","0","13","58.2","4.5","3.0%"
"58","Darrell Henderson Jr. (FA)","70","283","4.0","23","1","3","17","22","102","6.0","0","0","10","56.5","5.7","0.1%"
